ADRG코드,ADRG명_주상병,ADRG명_HIRA,평균재원일수
G671,장관염,장관염,3.4767066012704
G524,결장경 시술(주요 소화기 질환이 아닌 경우),결장경 시술(주요 소화기 질환이 아닌 경우),2.84961027051811
