ADRG코드,ADRG명,ICD10코드,ICD10명,건수,평균재원일수
D640,평형장애,R42,어지럼증및어지럼,331,2.57069378689579
D640,평형장애,H811,양성발작성현기증,58,2.57069378689579
D640,평형장애,H812,전정신경세포염,12,2.57069378689579
D640,평형장애,H8138,기타말초성현기증,5,2.57069378689579
D640,평형장애,H810,메니에르병,2,2.57069378689579
G671,장관염,A099,상세불명기원의위장염및결장염,271,3.4767066012704
G671,장관염,A090,감염성기원의기타및상세불명의위장염및결장염,44,3.4767066012704
G671,장관염,K5732,"출혈을동반하지않은천공또는농양이없는대장의게실병,게실염",29,3.4767066012704
G671,장관염,A020,살모넬라장염,22,3.4767066012704
G671,장관염,A045,캄필로박터장염,13,3.4767066012704
G671,장관염,A047,클로스트리듐디피실리에의한장결장염,4,3.4767066012704
G671,장관염,K5792,"출혈을동반하지않은천공또는농양이없는상세불명부분의장의게실병,게실염",3,3.4767066012704
G671,장관염,A040,장병원성대장균감염,2,3.4767066012704
G671,장관염,K5730,"출혈을동반하지않은천공또는농양이없는대장의게실병,게실증",2,3.4767066012704
G671,장관염,A041,장독소생산대장균감염,1,3.4767066012704
G671,장관염,A046,예르시니아엔테로콜리티카에의한장염,1,3.4767066012704
G671,장관염,A053,장염비브리오균에의한식중독,1,3.4767066012704
