진단명,ICD코드,ADRG,ADRG명,MDC,계열,DRG코드
뇌경색증,I63,B011,Complex Cerebral Aneurysm Procedures with Stroke,01,S,"B01100, B01101"
뇌경색증,I63,B012,Simple Cerebral Aneurysm Procedures with Stroke,01,S,B01200
뇌경색증,I63,B015,Embolization of Cerebral Aneurysm with Stroke,01,S,"B01500, B01501, B01502"
뇌경색증,I63,B017,Combined Procedures in Cerebral Aneurysm with Stroke,01,S,B01700
뇌경색증,I63,B018,Combined Procedures in Embolization of Cerebral Aneurysm with Stroke,01,S,"B01800, B01801"
뇌경색증,I63,B021,Intracranial Vascular Procedures with Stroke,01,S,"B02100, B02101, B02102"
뇌경색증,I63,B023,Embolization of Central Nervous System B02301 W Catastrophic CC,15,,"B02300, B02301"
뇌경색증,I63,B041,Extracranial Vascular Procedures with Stroke,01,S,"B04100, B04101"
뇌경색증,I63,B681,Intracerebral Hemorrhage B68102 W Catastrophic or Severe CC,11,,"B68100, B68101, B68102"
뇌경색증,I63,B685,Acute Severe Ischemic Stroke B68503 W Catastrophic CC,01,,"B68500, B68501, B68502, B68503"
뇌경색증,I63,B686,Other Ischemic or Non-Hemorrhagic Stroke B68602 W Catastrophic or Severe CC,01,,"B68600, B68601, B68602"
뇌경색증,I63,I652,"Connective Tissue Malignancy, Including I65210 중증도 구분 없음",08,,"I65210, I65220, I65221, I65222"
뇌경색증,I63,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
뇌경색증,I63,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
뇌경색증,I63,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
뇌경색증,I63,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
뇌경색증,I63,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
뇌경색증,I63,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
뇌경색증,I63,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
바이러스성 및 기타 명시된 장감염,A08,G671,"Enteritis, Age ≤18 G67113 W Catastrophic CC",06,,"G67110, G67111, G67112, G67113, G67120, G67121, G67122, G67123, G67130, G67131, G67132, G67133"
바이러스성 및 기타 명시된 장감염,A08,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
바이러스성 및 기타 명시된 장감염,A08,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
바이러스성 및 기타 명시된 장감염,A08,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
바이러스성 및 기타 명시된 장감염,A08,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
바이러스성 및 기타 명시된 장감염,A08,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
바이러스성 및 기타 명시된 장감염,A08,S630,HIV-Related Infection S63000 중증도 구분 없음,18-1,,S63000
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B011,Complex Cerebral Aneurysm Procedures with Stroke,01,S,"B01100, B01101"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B015,Embolization of Cerebral Aneurysm with Stroke,01,S,"B01500, B01501, B01502"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B017,Combined Procedures in Cerebral Aneurysm with Stroke,01,S,B01700
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B018,Combined Procedures in Embolization of Cerebral Aneurysm with Stroke,01,S,"B01800, B01801"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B021,Intracranial Vascular Procedures with Stroke,01,S,"B02100, B02101, B02102"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B023,Embolization of Central Nervous System B02301 W Catastrophic CC,15,,"B02300, B02301"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B670,Transient Cerebral Ischemic Attack B67003 W Catastrophic CC,01,,"B67000, B67001, B67002, B67003"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B681,Intracerebral Hemorrhage B68102 W Catastrophic or Severe CC,11,,"B68100, B68101, B68102"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B682,Subarachnoid Hemorrhage B68203 W Catastrophic CC,01,,"B68200, B68201, B68202, B68203"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B686,Other Ischemic or Non-Hemorrhagic Stroke B68602 W Catastrophic or Severe CC,01,,"B68600, B68601, B68602"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,B691,Stenosis of Cerebral and Cervical Arteries B69103 W Catastrophic CC,18-2,,"B69100, B69101, B69102, B69103"
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,G45,C610,Neurological and Vascular Diseases of the C61003 W Catastrophic CC,02,,"C61000, C61001, C61002, C61003"
거미막하출혈,I60,B011,Complex Cerebral Aneurysm Procedures with Stroke,01,S,"B01100, B01101"
거미막하출혈,I60,B015,Embolization of Cerebral Aneurysm with Stroke,01,S,"B01500, B01501, B01502"
거미막하출혈,I60,B017,Combined Procedures in Cerebral Aneurysm with Stroke,01,S,B01700
거미막하출혈,I60,B021,Intracranial Vascular Procedures with Stroke,01,S,"B02100, B02101, B02102"
거미막하출혈,I60,B023,Embolization of Central Nervous System B02301 W Catastrophic CC,15,,"B02300, B02301"
거미막하출혈,I60,B092,CNS Stereotactic Procedures in Intracranial Hemorrhage,01,S,"B09200, B09201"
거미막하출혈,I60,B093,우선순위,01,S,B09300
거미막하출혈,I60,B682,Subarachnoid Hemorrhage B68203 W Catastrophic CC,01,,"B68200, B68201, B68202, B68203"
거미막하출혈,I60,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
악성 신생물 이외의 병태에 대한 치료후 추적검사,Z09,S640,Other HIV S64001 W Catastrophic CC,18-1,,"S64000, S64001"
악성 신생물 이외의 병태에 대한 치료후 추적검사,Z09,Z620,Follow-Up Care after Completed Treatment Z62000 중증도 구분 없음,23,,Z62000
결절성 다발동맥염 및 관련 병태,M30,I661,Kawasaki Disease I66101 W Catastrophic or Severe CC,15,,"I66100, I66101"
결절성 다발동맥염 및 관련 병태,M30,I663,Angiitis I66302 W Catastrophic CC,08,,"I66300, I66301, I66302"
결절성 다발동맥염 및 관련 병태,M30,I667,"Other Connective Tissue Diseases, I66712 W Catastrophic CC",08,,"I66710, I66711, I66712, I66720, I66721, I66722"
결절성 다발동맥염 및 관련 병태,M30,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
안면신경장애,G51,B715,Cranial Nerve Disorders B71503 W Catastrophic CC,01,,"B71500, B71501, B71502, B71503"
안면신경장애,G51,B716,Nerve Root and Plexus Disorders B71601 W Catastrophic CC,01,,"B71600, B71601"
