순번,진단명,환자수,ICD코드,ADRG,ADRG명,MDC,계열,DRG코드
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,W600,"Multiple Trauma, Transferred to Another W60000 중증도 구분 없음",21-1,,W60000
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,W610,Multiple Trauma without Procedures W61002 W Catastrophic CC,21-1,,"W61000, W61001, W61002"
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,X600,"Injuries, Age ≤18 X60011 W Catastrophic or Severe or Moderate",21-2,,"X60010, X60011, X60020, X60021, X60030, X60031, X60032"
4,어깨 및 위팔 부위의 근육 및 힘줄의 손상,8,S46,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
4,어깨 및 위팔 부위의 근육 및 힘줄의 손상,8,S46,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
5,신우를 제외한 신장의 악성 신생물,8,C64,L631,Kidney and Urinary Tract Neoplasms with L63100 중증도 구분 없음,11,,L63100
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,I681,Non-Surgical Neck and Back Conditions I68113 W Catastrophic CC 중증도,08,,"I68110, I68111, I68112, I68113, I68120, I68121, I68122, I68123"
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,I682,Non-Surgical Neck and Back Conditions I68213 W Catastrophic CC,08,,"I68210, I68211, I68212, I68213, I68220, I68221, I68222, I68223"
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
6,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",8,S13,W600,"Multiple Trauma, Transferred to Another W60000 중증도 구분 없음",21-1,,W60000
7,고관절증,8,M16,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
7,고관절증,8,M16,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
7,고관절증,8,M16,I696,,08,,"I69600, I69601, I69602"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,E012,Major Lung Procedures for Malignancy,04,S,"E01200, E01201"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,E671,Respiratory Neoplasm with Radiation E67103 W Catastrophic CC,15,,"E67100, E67101, E67102, E67103"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,G503,Gastroscopy for Major Digestive Diseases,06,S,"G50300, G50301, G50302, G50303"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,G523,Colonoscopy for Major Digestive Diseases,06,S,"G52300, G52301, G52302, G52303"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,G602,Digestive Malignancy with Chemotherapy G60203 W Catastrophic CC,06,,"G60200, G60201, G60202, G60203"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,G603,Digestive Malignancy without Radiation G60303 W Catastrophic CC,15,,"G60300, G60301, G60302, G60303"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,H131,Hepatobiliary Diagnostic Procedures for Malignancy,07,S,H13100
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,H623,Malignancy of Liver without Radiation H62303 W Catastrophic CC,06,,"H62300, H62301, H62302, H62303"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,J632,Malignant Breast Diseases with J63203 W Catastrophic CC,09,,"J63200, J63201, J63202, J63203"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,L633,Kidney and Urinary Tract Neoplasms L63302 W Catastrophic CC,12,,"L63300, L63301, L63302"
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
8,호흡 및 소화기관의 이차성 악성 신생물,8,C78,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
9,기타 만성 폐쇄성 폐질환,8,J44,E720,Chronic Obstructive Pulmonary Disease E72003 W Catastrophic CC,18-1,,"E72000, E72001, E72002, E72003"
9,기타 만성 폐쇄성 폐질환,8,J44,E754,Lung Disease due to Dust E75401 W Catastrophic or Severe CC,04,,"E75400, E75401"
9,기타 만성 폐쇄성 폐질환,8,J44,E773,Other Respiratory System Diseases E77303 W Catastrophic CC,04,,"E77300, E77301, E77302, E77303"
9,기타 만성 폐쇄성 폐질환,8,J44,J660,"Trauma to Skin, Subcutaneous Tissue and J66011 W Catastrophic or Severe or Moderate",04,,"J66010, J66011, J66020, J66021, J66022, J66023"
9,기타 만성 폐쇄성 폐질환,8,J44,J670,Herpes Zoster without Complication J67002 W Catastrophic CC,09,,"J67000, J67001, J67002"
9,기타 만성 폐쇄성 폐질환,8,J44,J680,Urticaria J68001 W Catastrophic or Severe or Moderate,04,,"J68000, J68001"
9,기타 만성 폐쇄성 폐질환,8,J44,J700,Other Minor Skin Diseases J70003 W Catastrophic CC,09,,"J70000, J70001, J70002, J70003"
9,기타 만성 폐쇄성 폐질환,8,J44,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
9,기타 만성 폐쇄성 폐질환,8,J44,S630,HIV-Related Infection S63000 중증도 구분 없음,18-1,,S63000
9,기타 만성 폐쇄성 폐질환,8,J44,S640,Other HIV S64001 W Catastrophic CC,18-1,,"S64000, S64001"
10,다발골수종 및 악성 형질세포신생물,7,C90,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
10,다발골수종 및 악성 형질세포신생물,7,C90,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
10,다발골수종 및 악성 형질세포신생물,7,C90,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
10,다발골수종 및 악성 형질세포신생물,7,C90,R030,Lymphoma and Leukemia with Other OR Procedures,17,S,"R03000, R03001, R03002"
10,다발골수종 및 악성 형질세포신생물,7,C90,R601,"Acute Leukemia with Chemoport Insertion, R60112 W Catastrophic CC",17,,"R60110, R60111, R60112, R60120, R60121, R60122"
