순번,진단명,환자수,ICD코드,ADRG,ADRG명,MDC,계열,DRG코드
1,기타 변형성 등병증,13,M48,B171,Spinal Fusion with Myelopathy,01,S,"B17100, B17101, B17102, B17103"
1,기타 변형성 등병증,13,M48,B173,Laminectomy and Diskectomy with Myelopathy,01,S,"B17300, B17301, B17302"
1,기타 변형성 등병증,13,M48,B175,Other Spinal Procedures with Myelopathy,01,S,"B17500, B17501"
1,기타 변형성 등병증,13,M48,I081,Spinal Fusion with Myelopathy,08,S,"I08100, I08101, I08102, I08103"
1,기타 변형성 등병증,13,M48,I083,Laminectomy and Diskectomy with Myelopathy,08,S,"I08300, I08301, I08302, I08303"
1,기타 변형성 등병증,13,M48,I085,Other Spinal Procedures with Myelopathy,08,S,"I08500, I08501"
1,기타 변형성 등병증,13,M48,I640,Osteomyelitis I64003 W Catastrophic CC,08,,"I64000, I64001, I64002, I64003"
1,기타 변형성 등병증,13,M48,I651,"Connective Tissue Malignancy, Including I65102 W Catastrophic CC",08,,"I65100, I65101, I65102"
1,기타 변형성 등병증,13,M48,I652,"Connective Tissue Malignancy, Including I65210 중증도 구분 없음",08,,"I65210, I65220, I65221, I65222"
1,기타 변형성 등병증,13,M48,I653,"Connective Tissue Malignancy, Including I65311 W Catastrophic or Severe or Moderate CC",08,,"I65310, I65311, I65320, I65321, I65322, I65323"
1,기타 변형성 등병증,13,M48,I681,Non-Surgical Neck and Back Conditions I68113 W Catastrophic CC 중증도,08,,"I68110, I68111, I68112, I68113, I68120, I68121, I68122, I68123"
1,기타 변형성 등병증,13,M48,I682,Non-Surgical Neck and Back Conditions I68213 W Catastrophic CC,08,,"I68210, I68211, I68212, I68213, I68220, I68221, I68222, I68223"
1,기타 변형성 등병증,13,M48,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
1,기타 변형성 등병증,13,M48,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
1,기타 변형성 등병증,13,M48,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
1,기타 변형성 등병증,13,M48,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
1,기타 변형성 등병증,13,M48,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
1,기타 변형성 등병증,13,M48,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
2,심장중격의 선천기형,9,Q21,F171,Percutaneous Angioplasty with Stent for Stenotic Lesion of Congenital Heart Disease,05,S,"F17100, F17101"
2,심장중격의 선천기형,9,Q21,F720,Congenital Heart Diseases F72003 W Catastrophic CC,19,,"F72000, F72001, F72002, F72003"
2,심장중격의 선천기형,9,Q21,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
2,심장중격의 선천기형,9,Q21,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
2,심장중격의 선천기형,9,Q21,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
2,심장중격의 선천기형,9,Q21,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
2,심장중격의 선천기형,9,Q21,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
2,심장중격의 선천기형,9,Q21,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
2,심장중격의 선천기형,9,Q21,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,E682,Other Chest Trauma E68202 W Catastrophic CC,04,,"E68200, E68201, E68202"
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,I750,"Injuries to Shoulder, Arm, Elbow, Knee, I75010 중증도 구분 없음",08,,"I75010, I75020, I75021, I75022, I75023"
3,"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",9,S43,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
